"ID_A_Bes","A_Bes_Nev"
"1","Ablak"
"2","Fém lamellás"
"3","Külső Fém"
"4","Lemez burkolat"
"5","Műanyag lamellás"
"6","Visiportok"
"7","7…"
"8","8…"
"9","9…"
"10","Biztonsági kapcsolók"
"11","Biztosítékok"
"12","Elem_Akkumulátor"
"13","Érintkezőblokk"
"14","Jelátalakítók"
"15","Kapcsolók"
"16","Relék"
"17","Sorkapocs"
"18","Szelep"
"19","Tömszelencék"
"20","Védőcsövek"
"21","Világítótestek"
"22","Nyomógomb"
"23","***"
"24","Átfolyás érzékelő"
"25","Induktív érzékelő"
"26","Nyomás érzékelő"
"27","Optikai érzékelő"
"28","Szint érzékelő"
"29","Ultrahangos érzékelő"
"30","30…"
"31","31…"
"32","32…"
"33","Elektromos modul"
"34","Mágnes kapcsoló"
"35","Motorvédő kapcsoló"
"36","Siemens modul"
"37","Tápegységek"
"38","Kijelzők"
"39","Kézivezérlők"
"40","40…"
"41","Elektromos vezetékek"
"42","S.Jelkábelek"
"43","Mérőrendszer kábelek"
"44","Szerelt kábelek"
"45","S.Táp kábelek"
"46","46…"
"47","47…"
"48","48…"
"49","Kötelek"
"50","Szemek"
"51","Seklik"
"52","52…"
"53","53…"
"54","Csapágy"
"55","Fogaskerekek"
"56","Hajtómű"
"57","Lánckerekek_Láncok"
"58","Rugók"
"59","Szíjtárcsák_Szíjak"
"60","Tengely / Kapcsolók"
"61","Tengelykapcsolók és betétek"
"62","Ütközők"
"63","63…"
"64","64…"
"65","65…"
"66","Szegnyereg"
"67","Adaptercserélő"
"68","Szerszámcserélő"
"69","Forgácskotró"
"70","Adapter"
"71","Alkatrész"
"72","Fitting"
"73","Hidraulika akkumulátor"
"74","Hidraulika cső"
"75","Kémlelők"
"76","Munkahenger"
"77","Nyomáskapcsolók"
"78","Szelep"
"79","Szelepvezérlés"
"80","Szűrőház"
"81","81…"
"82","82…"
"83","83…"
"84","Adagoló"
"85","Kenő fitting"
"86","Cső"
"87","87…"
"88","88…"
"89","Fúvókák"
"90","Hűtő egység"
"91","Ventilátorok"
"92","Szelep"
"93","Áramlásőr"
"94","94…"
"95","Energiavezető"
"96","Golyósorsók_Tartozékok"
"97","Speciális"
"98","Vezetőkocsi"
"99","Vezetősín"
"100","Záródugók"
"101","Ives rendszer"
"102","Vezetőkocsi+sín"
"103","103…"
"104","Anyák"
"105","Bilincsek"
"106","Csapok"
"107","Csavarok"
"108","Hasított csőszeg"
"109","Persely"
"110","Rögzítő elemek"
"111","Alátétek"
"112","Sapkák"
"113","Patron"
"114","Hidr. Mérőórák"
"115","Hőmérséklet mérés"
"116","Mérő / Mintavételező edény"
"117","Mérőfej és tartozékok"
"118","Mérőléc"
"119","Pneu. mérőórák"
"120","Szintjelzők"
"121","Szögmérő"
"122","Tartozékok"
"123","123…"
"124","124…"
"125","Aszinkron motorok"
"126","Forgatóművek"
"127","Hidraulikus motorok"
"128","Szervó motorok"
"129","129…"
"130","130…"
"131","131…"
"132","Cső"
"133","Fitting"
"134","Lefuvatók"
"135","Levegő előkészítők_Olajzók"
"136","Munkahenger és tartozékok"
"137","Szelep"
"138","Sarokszelep"
"139","Szivattyú"
"140","140…"
"141","Átemelők"
"142","Hidraulika"
"143","Hidrosztatika"
"144","Nagynyomású"
"145","Pneumatika"
"146","Alkatrészek"
"147","147…"
"148","148…"
"149","Külső szervíz"
"150","150…"
"151","151…"
"152","152…"
"153","Dobszűrők"
"154","Egységek"
"155","Fémrácsok"
"156","Folyadék szűrő"
"157","Hidraulika szűrő"
"158","Paplanszűrő"
"159","Résszűrő"
"160","Szűrőfiókok"
"161","Szűrőkazetta"
"162","Szűrőpatronok"
"163","Szűrőrácsok"
"164","Lábszelep"
"165","165…"
"166","166…"
"167","Alakos tömitő profil"
"168","Fém tömítések"
"169","Lehúzók"
"170","Ringek"
"171","Szimmering"
"172","Telleborg tömítések"
"173","Tömítő keretek"
"174","Vezetéktörlő"
"175","Zsinórok"
"176","Szalag"
"177","Készlet"
"178","178…"
"179","Kenő anyagok"
"180","Ragasztók"
"181","Tisztítók"
"182","Tömítők"
"183","Létrák"
"184","184…"
"185","Golyósorsó CSM"
"186","Szegnyereg CSM"
"187","Vezetősín CSM"
"188","Forgóátvetető csere"
"189","189…"
"190","190…"
"191","191…"
"192","192…"
"193","193…"
"194","194…"
"195","195…"
"196","196…"
"197","197…"
"198","198…"
"199","199…"
"200","200…"
"201","Éves"
"202","Havi"
"203","Szerszám"
"204","204…"
"205","205…"
"206","A-Tengely"
"207","B-Tengely"
"208","Mechanikus alk."